"hazard","time"
0.162923386427684,2.1
0.162923386427684,2.2
0.327910104174314,3
0.328172141482215,3.1
0.481089737029217,4
0.614444789798511,5
0.738103212419576,6
0.738103212419576,6.1
0.858781738100701,7
0.859769208770873,7.1
0.961587828284889,8
0.961587828284889,8.1
1.05307774783,9
1.05307774783,9.1
1.13776495403159,10
1.13776495403159,10.1
1.23157999088132,11
1.30802320276163,12
1.39427970282164,13
1.48476449272335,14
1.54691024669682,15
1.64456688148394,16
1.70775421509441,17
1.79093686897145,18
1.84692007851989,19
1.90665309551011,20
1.97460882239532,21
2.03436756486576,22
2.03436756486576,22.1
2.10275175313803,23
2.18464676711025,24
2.25709090760114,25
2.32193568881054,26
2.37682926285982,27
2.46088370057483,28
2.53844709717362,29
2.58915380000138,30
2.65839331551554,31
2.74096157853632,32
2.78081993855079,33
2.87641676122863,34
2.89160003886699,35
2.93377820163001,36
2.93377820163001,36.1
2.9947884825087,37
3.04766054458437,38
3.11034699822286,39
3.16368079436669,40
3.19872142064326,41
3.21311132422252,42
3.30442490395094,43
3.39706316067403,44
3.46032529390296,45
3.5082865928843,46
3.54899495871331,47
3.61353679161419,48
3.68193561055817,49
3.68193561055817,50
3.73080386141686,51
3.79555951403043,52
3.89297321606898,53
3.98373936671057,54
4.04893926077188,55
4.08299089085075,56
4.10036560548846,57
4.15685125246336,58
4.17630548833757,59
4.27926837215276,60
4.34581160521966,61
4.44361781594356,62
4.44361781594356,63
4.49613923517457,64
4.52300815692363,65
4.55061895093645,66
4.67084539016353,67
4.70364367705347,68
4.70364367705347,69
4.73822984853857,70
4.77405507753732,72
4.81202421133428,73
4.85149189904665,74
4.98019976829515,77
5.07573017657309,78
5.07573017657309,79
5.18313705648419,80
5.36554431999912,84
5.50332759499486,85
5.58005735779395,86
5.66316386302659,91
5.75044945211013,93
5.75044945211013,99
5.75044945211013,101
5.97534597359317,104
6.10474016046121,113
6.10474016046121,127
6.26728324531897,131
6.46137452562102,134
6.70220984053708,159
6.70220984053708,165
7.06873543135831,179
7.06873543135831,185
7.06873543135831,246
8.06873543135831,328
